1,6,9,3,81,75,49,57
2,6,10,75,82,67,50,58
3,6,11,67,83,17,51,59
4,6,83,66,91,18,52,60
5,6,91,65,25,19,53,61
6,6,90,73,26,65,54,62
7,6,89,1,27,73,55,63
8,6,81,2,89,74,56,64
9,6,16,4,88,76,41,49
10,6,12,68,84,24,43,51
11,6,92,72,32,20,45,53
12,6,96,8,28,80,47,55
13,6,15,5,87,77,37,41
14,6,14,77,86,69,36,42
15,6,13,69,85,23,35,43
16,6,85,70,93,22,34,44
17,6,93,71,31,21,33,45
18,6,94,79,30,71,40,46
19,6,95,7,29,79,39,47
20,6,87,6,95,78,38,48
21,6,98,80,97,72,46,54
22,6,100,76,99,68,42,50
23,6,82,74,90,66,106,105
24,6,88,101,96,102,48,56
25,6,84,103,92,104,44,52
