1,24,12,1,13
2,23,13,2,16
3,22,16,3,4
4,19,17,22,5
5,7,18,19,6
6,8,15,20,18
7,9,10,21,15
8,21,11,24,14
9,31,4,25,45
10,30,45,26,44
11,29,44,27,28
12,33,43,29,32
13,37,42,33,36
14,38,41,34,42
15,39,6,35,41
16,35,5,31,40
17,55,64,28,46
18,58,65,55,47
19,49,66,58,48
20,50,61,59,66
21,51,52,60,61
22,60,53,57,62
23,57,54,36,63
24,56,63,32,64
25,72,49,67,79
26,71,79,68,84
27,70,84,69,12
28,73,83,70,11
29,76,82,73,10
30,77,81,74,82
31,78,51,75,81
32,75,50,72,80
33,96,52,78,88
34,91,53,96,89
35,37,54,91,90
36,38,90,92,85
37,39,85,93,7
38,93,86,94,8
39,94,87,76,9
40,95,88,77,87
41,103,102,19,35
42,108,101,103,34
43,63,100,108,33
44,62,97,107,100
45,61,75,106,97
46,106,74,105,98
47,105,73,21,99
48,99,20,102,104
49,109,118,22,31
50,114,119,109,30
51,64,120,114,29
52,65,115,113,120
53,66,72,112,115
54,112,71,111,116
55,111,70,24,117
56,110,117,23,118
57,121,25,3,132
58,126,26,121,131
59,46,27,126,130
60,47,130,125,127
61,48,127,124,67
62,124,128,123,68
63,123,129,1,69
64,122,132,2,129
65,133,112,79,124
66,138,113,133,125
67,44,114,138,126
68,43,108,137,114
69,42,90,136,108
70,136,89,135,107
71,135,88,81,106
72,134,106,80,112
73,139,111,84,123
74,144,110,139,122
75,45,109,144,121
76,40,103,143,109
77,41,85,142,103
78,142,86,141,104
79,141,87,82,105
80,140,105,83,111
81,144,118,16,132
82,138,119,144,131
83,55,120,138,130
84,56,100,137,120
85,57,91,136,100
86,136,92,142,101
87,142,93,18,102
88,143,102,17,118
89,139,117,13,129
90,133,116,139,128
91,58,115,133,127
92,59,97,134,115
93,60,96,135,97
94,135,95,141,98
95,141,94,15,99
96,140,99,14,117
97,74,80,71,83
98,134,98,140,116
99,137,101,143,119
100,43,34,40,30
101,17,20,14,23
102,143,104,140,110
103,137,107,134,113
104,59,62,56,65
105,125,131,122,128
106,113,119,110,116
